cohort,data_seed,initialization_seed,noise_level,E_raw,E_SAEPS,E_fix,E_GN_fix,E_relax,identity_residual
e3_heldout_1e5,916102,926001,0.02,16.578994847492787,0.0008951105269404246,16.57806355435755,0.0009312931352356724,2.182559390226758e-06,0.0
e3_heldout_1e5,916102,926002,0.02,17.014258480677388,0.0009497793500878127,17.01352460529203,0.0007338753853569772,1.2690137385571163e-05,0.0
e3_heldout_1e5,916103,926001,0.0,15.691867636223929,0.00026874945708741245,15.69194034501077,7.270878684103819e-05,1.2493080260639527e-05,0.0
e3_heldout_1e5,916103,926002,0.0,15.70981018924813,0.0012266155104598902,15.70881068779508,0.0009995014530493828,1.4457749974959164e-05,0.0
e3_heldout_1e5,916103,926001,0.02,15.638611104638542,0.0007760929883184372,15.639298759579548,0.0006876549410061777,5.654860146857384e-06,0.0
e3_heldout_1e5,916103,926002,0.02,15.602107103596946,0.0003562695331677496,15.602518174163194,0.00041107056624646067,3.512319770899819e-06,0.0
e3_heldout_1e5,916104,926001,0.0,18.483423749942762,0.0012454599135217161,18.48219461286283,0.0012291370799316192,8.83165334332115e-07,0.0
e3_heldout_1e5,916104,926002,0.0,18.635441695852748,0.0011508407075192157,18.63386976465627,0.0015719311964776438,2.2598123424230813e-05,0.0
e3_heldout_1e5,916104,926001,0.02,18.700891233822432,0.0006547235068369851,18.701078816561036,0.00018758273860572226,4.504051629402787e-05,0.0
e3_heldout_1e5,916104,926002,0.02,18.634634639668867,0.0025846394655974236,18.63202979855099,0.00260484111787815,1.084243235555415e-06,0.0
e3_heldout_1e5,916105,926001,0.0,16.492079561938827,0.0015443221461805682,16.4907097497441,0.0013698121947275516,1.0582319016913653e-05,0.0
e3_heldout_1e5,916105,926002,0.0,16.36305391025003,0.00023097014152104097,16.36263210077705,0.0004218094729814123,3.9894535930156876e-05,0.0
e3_heldout_1e5,916105,926001,0.02,16.442600692288153,0.0005513441273730845,16.442923818075776,0.00032312578762300757,1.387942571464108e-05,0.0
e3_heldout_1e5,916105,926002,0.02,16.445329692713067,0.0012478244709897873,16.44433151866954,0.0009981740435273019,1.5181549160885027e-05,0.0
e3_heldout_1e5,916106,926001,0.0,16.941143397529114,0.0020306308311024983,16.94240598387271,0.0012625863435983516,4.533266927766251e-05,0.0
e3_heldout_1e5,916106,926002,0.0,16.70503199194906,0.0018306706988003372,16.70680716935394,0.0017751774048820055,3.3215977976143624e-06,0.0
e3_heldout_1e5,916106,926001,0.02,16.72400359668354,0.0012594240074438813,16.725140744054602,0.0011371473710623204,7.310948123543293e-06,0.0
e3_heldout_1e5,916106,926002,0.02,16.96290129669895,0.002334141327753297,16.964543340922326,0.0016420442233774568,4.079668342527746e-05,0.0
e3_budget_control_1e4,916001,926001,0.0,17.994766497458865,0.0007519123639380507,17.995424805788346,0.0006583083294820866,5.2015462503967e-06,0.0
e3_budget_control_1e4,916001,926001,0.02,18.08178581759158,0.002035078196820378,18.08387001005002,0.00208419245843848,2.715915430351067e-06,0.0
e3_budget_control_1e4,916001,926002,0.02,18.127816531311996,0.001421854404921796,18.12945335702503,0.0016368257130350617,1.1857572525987978e-05,0.0
e3_budget_control_1e4,916002,926001,0.0,14.349740759137504,0.0018906459174170816,14.347887515724652,0.0018532434128518329,2.60683006546848e-06,0.0
e3_budget_control_1e4,916002,926001,0.02,14.251647333504245,0.001164246450778208,14.25307232431051,0.001424990806265563,1.8293905304213226e-05,0.0
e3_budget_control_1e4,916002,926002,0.02,14.333703407956921,0.00029408938167733707,14.334008127891668,0.0003047199347468196,7.416315779134575e-07,0.0
