cohort,data_seed,initialization_seed,noise_level,status,F_raw,F_se_GN,H_fix_exact,H_red_exact,C_exact,C_GN,E_raw,E_SAEPS,E_fix,E_GN_fix_reported,E_GN_fix_recomputed,E_GN_fix_difference,E_relax,identity_residual,identity_holds,source_path,source_sha256
e3_heldout_1e5,916101,926002,0.02,PASS,31.70580026084399,1.6498767784663002,31.708672326546292,1.653859625215393,30.0548127013309,30.05592348237769,18.17079272976799,0.0024082132874438645,18.172529313478687,0.9478770717163171,0.0017365837107017872,-0.9461404880056153,3.6958508358022406e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916102,926001,0.0,PASS,29.73961480755009,1.6728325335579584,29.739823526645658,1.6728178288710076,28.06700569777465,28.066782273992132,16.77815499482089,8.790369524439563e-06,16.778279765785616,0.9437440756636638,0.00012477096472656565,-0.9436193046989373,7.960371150550118e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916102,926002,0.0,PASS,29.89960320376287,1.672726609633557,29.90296286524569,1.6776014912587165,28.225361373986974,28.226876594129312,16.82282812177325,0.0029058638905019637,16.82483077942484,0.9439491568742213,0.0020026576515943654,-0.941946499222627,5.368293152119751e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916102,926001,0.02,PASS,29.721955700468804,1.6922787809087652,29.720381102287334,1.6907653590283616,28.029615743258972,28.02967691956004,16.578994847492787,0.0008951105269404246,16.57806355435755,0.9431129706466548,0.0009312931352356724,-0.9421816775114191,2.182559390226758e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916102,926002,0.02,PASS,29.733447637742707,1.652118388003931,29.732236339183075,1.6505507289957606,28.081685610187314,28.081329249738776,17.014258480677388,0.0009497793500878127,17.01352460529203,0.9444741700538224,0.0007338753853569772,-0.9437402946684654,1.2690137385571163e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916103,926001,0.0,PASS,29.376135101902705,1.7594340408551865,29.37626306260744,1.759907014912656,27.616356047694783,27.616701061047518,15.691867636223929,0.00026874945708741245,15.69194034501077,0.940102592109455,7.270878684103819e-05,-0.940029883322614,1.2493080260639527e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916103,926002,0.0,PASS,29.318766135249763,1.7567362225539327,29.317012425959717,1.754584022565183,27.562428403394534,27.56202991269583,15.70981018924813,0.0012266155104598902,15.70881068779508,0.9401377433291512,0.0009995014530493828,-0.9391382418761018,1.4457749974959164e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916103,926001,0.02,PASS,29.479258833117253,1.7703629134303327,29.48047717747744,1.7717379468357706,27.70873923064167,27.70889591968692,15.638611104638542,0.0007760929883184372,15.639298759579548,0.9399066284943637,0.0006876549410061777,-0.9392189735533575,5.654860146857384e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916103,926002,0.02,PASS,29.48917494147168,1.7755980314372515,29.48990509769642,1.7762308483759632,27.713674249320455,27.71357691003443,15.602107103596946,0.0003562695331677496,15.602518174163194,0.9397648723800608,0.00041107056624646067,-0.9393538018138143,3.512319770899819e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916104,926001,0.0,PASS,30.527051222863925,1.5687731093313637,30.5251253842078,1.566821695705272,28.95830368850253,28.95827811353256,18.483423749942762,0.0012454599135217161,18.48219461286283,0.9486702426135635,0.0012291370799316192,-0.9474411055336318,8.83165334332115e-07,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
