E_SAEPS2_fixed_metric,E_SAEPS2_repo_metric,E_raw2_fixed_metric,E_raw2_repo_metric,drift_F_raw,drift_F_se,drift_H_red,drift_H_red_over_SAEPS2,gamma,gamma_source,iteration_budget,lbfgs_iterations,method_preferred_same_level_reference,normalized_penalty_gradient,reference_reduction_status,seed,state_displacement_from_anchor
0.007225168468329079,0.007225234742065454,10.480304232310855,10.480462153342499,2.7003813555691397e-05,1.3065753880342182e-05,0.0007447258590491695,0.10307384005142757,0.9364647659424231,new_posthoc_sensitivity_target,25,25,SAEPS,1.824414463556352e-06,PASS,221,5.375040106528978e-05
0.007162436714798612,0.007162423144438563,10.475785741553846,10.475925495323676,3.119303966158096e-05,8.63391348936403e-05,0.00029154572337905575,0.04070482364984543,0.9364647659424231,new_posthoc_sensitivity_target,100,96,SAEPS,2.3699426161898317e-08,PASS,221,0.00036994831103361503
0.0071398113038186935,0.007139786048522495,10.47705760695312,10.4771819431839,2.930601614556879e-05,5.906372116325198e-05,0.00042265882576213816,0.05919747844541509,0.9364647659424231,new_posthoc_sensitivity_target,400,293,SAEPS,6.329842239662507e-08,PASS,221,0.0003810909897703825
0.007138506796694765,0.007138481560872648,10.476963208763465,10.477087310590125,2.931475376279429e-05,5.838478827023582e-05,0.00041235583347493815,0.05776499836994833,0.9364647659424231,new_posthoc_sensitivity_target,1000,668,SAEPS,2.861379295438853e-08,PASS,221,0.0003815542275994261
0.029824216344582367,0.029824216344582367,14.96143392010795,14.96143392010795,0.0,0.0,0.0,0.0,0.5439254742879833,historical_recorded,0,0,SAEPS,1.027679913059591e-07,PASS,222,0.0
0.02989180148656535,0.0298916699529613,14.96196747525289,14.961921296197522,7.133940439654539e-06,6.98855594226751e-06,7.868127666705476e-05,0.002632202569069565,0.5439254742879833,historical_recorded,25,25,SAEPS,5.195411364195323e-07,PASS,222,1.8072119740657913e-05
0.029975203681231202,0.029975080014905075,14.958356526181174,14.958309682050242,1.2610007403799575e-05,1.627903619154147e-05,0.00025365782384827206,0.008462255220874394,0.5439254742879833,historical_recorded,100,100,SAEPS,1.1847603256012756e-08,PASS,222,9.507392362822546e-05
0.029970893644901398,0.029970772291571256,14.958471261819037,14.95842537676006,1.2206027622344793e-05,1.5761237192993444e-05,0.0002450536696897599,0.008176388485214488,0.5439254742879833,historical_recorded,400,340,SAEPS,1.2422628803606874e-08,PASS,222,9.548318556415234e-05
0.02996432762510808,0.029964211886986215,14.958630248235316,14.958586542983003,1.1574983880752108e-05,1.4920502984551761e-05,0.00023342728303088752,0.007790172566238104,0.5439254742879833,historical_recorded,1000,814,SAEPS,4.473272969365157e-08,PASS,222,9.622779498444356e-05
0.118556849787617,0.118556849787617,15.508026283725204,15.508026283725204,0.0,0.0,0.0,0.0,0.1667075138313656,historical_recorded,0,0,SAEPS,5.104691750530729e-07,PASS,223,0.0
0.12205745450756002,0.12205546038524188,15.519790446078828,15.519658907434058,2.968980779821097e-05,0.0003848465854385281,0.003522439542908831,0.028858864516879284,0.1667075138313656,historical_recorded,25,25,SAEPS,3.000693272575168e-06,PASS,223,0.0010598999371505035
0.12102062254864343,0.12102228657461392,15.526550460756065,15.526461705152146,6.111934005275735e-05,0.0003611206899123234,0.0029717289816148192,0.024555558540614454,0.1667075138313656,historical_recorded,100,100,SAEPS,6.9744588149464464e-06,PASS,223,0.0032192287476804577
0.12205117271658042,0.12204822543614897,15.487875093631757,15.487578919592945,7.686183757135649e-05,0.0008399306471859727,0.004484278535367749,0.03674097049260525,0.1667075138313656,historical_recorded,400,346,SAEPS,1.0092587334657363e-07,PASS,223,0.011741343405580104
0.12204708677728705,0.12204412673830968,15.48784068932805,15.48754406925931,7.689952015050563e-05,0.0008398758881876945,0.004481432094345918,0.0367188780386351,0.1667075138313656,historical_recorded,1000,721,SAEPS,8.535476624337242e-08,PASS,223,0.011741445239337756
0.09526263397121496,0.09526263397121496,12.340504790665083,12.340504790665083,0.0,0.0,0.0,0.0,3.736022509960797,historical_recorded,0,0,SAEPS,6.307613025686265e-08,PASS,224,0.0
0.09526014510542913,0.09526015904499638,12.340420862978846,12.340420399885467,2.031161110191032e-07,1.4926776091181325e-07,1.1177686495395876e-05,0.00011733854155927409,3.736022509960797,historical_recorded,25,15,SAEPS,1.2769769264220554e-07,PASS,224,3.6201355783182517e-09
0.09525983106204756,0.09525982983254325,12.340479051547977,12.340479076141445,2.1056983382932345e-08,5.503773743469185e-08,2.815090704135103e-06,2.955170792084957e-05,3.736022509960797,historical_recorded,100,62,SAEPS,6.14017925701251e-08,PASS,224,1.4684651459877457e-08
0.09525329760626981,0.09525329304790557,12.340417373547632,12.340417504487563,8.096630241252087e-08,1.8567718525036522e-07,9.532346070853868e-06,0.0001000736594994946,3.736022509960797,historical_recorded,400,250,SAEPS,5.668602233633067e-08,PASS,224,7.117862447874862e-08
0.09524653799498553,0.09524654240895421,12.340301774744562,12.340301594800927,1.2762664898238037e-07,2.700429446898765e-07,2.0663189005738674e-05,0.00021694425268062274,3.736022509960797,historical_recorded,1000,625,SAEPS,1.2016456216684415e-07,PASS,224,1.9104558199152194e-07
