benchmark,seed,F_raw,F_SAEPS,F_block,H_red_exact,state_parameters,nominal_level,method,surrogate_coverage
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.9,block,0.9234776662955146
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.95,raw,0.3159010871483605
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.95,SAEPS,0.9408240027793626
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.95,block,0.9651891322224551
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.99,raw,0.4071606430370327
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.99,SAEPS,0.986853847287553
Burgers,55,702.2247518499003,32.65205704500545,26.098091646542798,30.262481492035022,65,0.99,block,0.9944583206459205
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.9,raw,0.2804349437492657
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.9,SAEPS,0.9157326695662074
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.9,block,0.8904871301522583
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.95,raw,0.3312198073059398
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.95,SAEPS,0.9603317075264157
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.95,block,0.9434765797917821
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.99,raw,0.4260572737971462
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.99,SAEPS,0.9931407465002478
Burgers,56,1070.667974369574,46.30577817779681,53.88787810830763,51.01364125853456,65,0.99,block,0.9877961387801335
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.9,raw,0.23684629898592457
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.9,SAEPS,0.8975927679301883
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.9,block,0.9198000112002158
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.95,raw,0.2804581479706889
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.95,SAEPS,0.9483680232898806
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.95,block,0.9629025367902913
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.99,raw,0.3630014767961842
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.99,SAEPS,0.9894641112195282
Burgers,58,772.2117124338528,26.28616205679407,22.90944379440839,25.917986793478008,65,0.99,block,0.9938513480434832
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.9,raw,0.2502207229730302
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.9,SAEPS,0.8963224223784665
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.9,block,0.8858841990403454
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.95,raw,0.29607613665997334
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.95,SAEPS,0.9475015947375192
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.95,block,0.9402507788623056
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.99,raw,0.38253253379550234
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.99,SAEPS,0.9891753646376449
Burgers,59,892.3362112979551,34.276436432087394,36.36031830545278,33.54794249118072,65,0.99,block,0.9866468028021975
Burgers,60,1250.5036533443342,39.753145807684405,48.752643955037684,44.01058832669719,65,0.9,raw,0.24235657782225317
Burgers,60,1250.5036533443342,39.753145807684405,48.752643955037684,44.01058832669719,65,0.9,SAEPS,0.9164935053778043
