phase,seed,label,status,theta_stationarity,parameter_stationarity
P7,11,noise=0.05_fraction=0.25,PASS,0.0023568983976274363,0.002814470003325574
P7,12,noise=0.05_fraction=0.25,SOLVER_FAILURE,0.0023459517342119007,0.0007320606803649258
P7,13,noise=0.05_fraction=0.25,PASS,0.002633805852678381,0.002769296370099
P7,14,noise=0.05_fraction=0.25,PASS,0.016947509413906065,0.00420311288844766
P7,10,architecture=narrow,PASS,0.003625040236063543,0.010375354807385273
P7,11,architecture=narrow,PASS,0.00423630504315313,0.00031312389624057855
P7,12,architecture=narrow,PASS,0.00518886017187311,0.009687922692252007
P7,13,architecture=narrow,PASS,0.0028214092149514737,0.0010771979105588733
P7,14,architecture=narrow,PASS,0.002164123967967671,0.0008010651468742796
P7,10,architecture=wide,SOLVER_FAILURE,0.0004479464289500757,0.0009294914942468277
P7,11,architecture=wide,SOLVER_FAILURE,0.0026261974631796702,0.0011896251402283993
P7,12,architecture=wide,PASS,0.00398037791309502,0.005122273710161246
P7,13,architecture=wide,PASS,0.002043190314519258,0.0009545542406315484
P7,14,architecture=wide,PASS,0.008883314362598945,0.0035413900839075018
P8,0,,PASS,0.010125864348098774,0.004135328288388663
P8,1,,PASS,0.00603677382307725,0.0018473863760684922
P8,2,,PASS,0.016087151000452105,0.013459260967176387
