source,benchmark,seed,step_budget,basis_dimension,raw_relative_error,gn_relative_error,corrected_relative_error,improved_over_gn,gn_to_corrected_error_ratio,defect_relative_norm,identity_relative_residual,minimum_gap_eigenvalue,maximum_positive_nested_increment_so_far,dense_oracle_gap_spectral_norm,floating_point_mu_bound,reference_minimum_eigenvalue,subspace_stalled_or_response_converged,reference_scalar,gn_scalar,corrected_scalar
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_80.json,Allen-Cahn,80,1,1,20.3727584054641,0.36626326604464865,0.0001508016803419356,True,2428.774435498094,0.0015994382603869907,4.217504972423645e-13,0.0005720905105732754,0.0,0.0005720905121734953,627.413984447274,3.7936613688128062,False,3.7936613688128062,5.18314017568423,3.7942334593233795
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_80.json,Allen-Cahn,80,3,3,20.3727584054641,0.36626326604464865,7.147480522842457e-08,True,5124368.858006915,2.9293753149921337e-05,6.36456451873764e-13,2.711512081532419e-07,0.0,2.711536226536689e-07,0.21045985572729087,3.7936613688128062,False,3.7936613688128062,5.18314017568423,3.7936616399640144
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_80.json,Allen-Cahn,80,5,5,20.3727584054641,0.36626326604464865,2.0040816808516278e-12,True,182758651777.60934,2.583354387336095e-07,2.7210300057281933e-13,7.602807272633072e-12,0.0,8.635073914246294e-12,1.636768309160632e-05,3.7936613688128062,False,3.7936613688128062,5.18314017568423,3.793661368820409
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_80.json,Allen-Cahn,80,10,9,20.3727584054641,0.36626326604464865,8.016326723406511e-13,True,456896629444.0233,1.7233071032130347e-12,8.016326757457595e-13,-3.0411229090532288e-12,5.7696070143720135e-12,4.901501618832431e-21,7.283574880448702e-16,3.7936613688128062,True,3.7936613688128062,5.18314017568423,3.793661368809765
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_82.json,Allen-Cahn,82,0,0,19.31333507115045,0.15552413475285662,0.009222799836638493,True,16.863006625712668,0.005785643437756228,6.812183357541013e-13,0.05137676997357232,0.0,0.051376769977402134,9735.338990419104,5.5706261429685355,False,5.5706261429685355,6.436992955440601,5.622002912942108
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_82.json,Allen-Cahn,82,1,1,19.31333507115045,0.15552413475285662,0.0011015904215215392,True,141.18145157620697,0.0008537447480489046,4.606370517876311e-13,0.006136548411987519,0.0,0.006136548409418656,211.9843688730685,5.5706261429685355,False,5.5706261429685355,6.436992955440601,5.576762691380523
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_82.json,Allen-Cahn,82,3,3,19.31333507115045,0.15552413475285662,7.428288227496881e-06,True,20936.7393926856,0.0003035583653335017,1.1492398178044303e-12,4.138021667188241e-05,0.0,4.138021026984948e-05,26.799837412834002,5.5706261429685355,False,5.5706261429685355,6.436992955440601,5.570667523185207
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_82.json,Allen-Cahn,82,5,5,19.31333507115045,0.15552413475285662,1.2093294871652326e-08,True,12860360.753909832,8.092333525238057e-06,2.3606760437432734e-12,6.736722468758671e-08,0.0,6.735407424374333e-08,0.019045627943689206,5.5706261429685355,False,5.5706261429685355,6.436992955440601,5.57062621033576
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_82.json,Allen-Cahn,82,10,10,19.31333507115045,0.15552413475285662,3.1887920506990876e-13,True,487721156726.9199,8.281375340716984e-11,3.188791221678999e-13,1.7763568394002505e-12,8.79651906871004e-12,4.650043235230667e-19,1.9945856306654264e-12,5.5706261429685355,False,5.5706261429685355,6.436992955440601,5.570626142970312
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_83.json,Allen-Cahn,83,0,0,17.707638350426283,0.21819187736901235,0.012942698915465121,True,16.858298164403465,0.0060081004949314,3.0866510450038818e-12,0.06508514698542456,0.0,0.06508514696970177,14774.11698782182,5.028715207013576,False,5.028715207013576,6.125940020967889,5.093800353999001
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_83.json,Allen-Cahn,83,1,1,17.707638350426283,0.21819187736901235,0.001207579248509093,True,180.68534850892596,0.0009798684973661717,5.501373183764326e-12,0.006072572142727495,0.0,0.006072572115029248,392.973032073492,5.028715207013576,False,5.028715207013576,6.125940020967889,5.034787779156304
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_83.json,Allen-Cahn,83,3,3,17.707638350426283,0.21819187736901235,7.859280304109961e-07,True,277623.2287515058,1.7154409243906198e-05,2.661020422926455e-13,3.952208246005284e-06,0.0,3.952209584157723e-06,0.12044220290161395,5.028715207013576,False,5.028715207013576,6.125940020967889,5.028719159221822
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_83.json,Allen-Cahn,83,5,5,17.707638350426283,0.21819187736901235,7.344310945634452e-10,True,297089650.7298731,9.391566148396946e-07,4.668348178555314e-12,3.6932448210791335e-09,0.0,3.669769027584757e-09,0.0003609966739196467,5.028715207013576,False,5.028715207013576,6.125940020967889,5.028715210706821
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_83.json,Allen-Cahn,83,10,10,17.707638350426283,0.21819187736901235,8.288486239719975e-12,True,26324695614.911694,3.887493507001698e-12,8.288486258019535e-12,-4.168043687968748e-11,3.9747760638420004e-11,9.138414387189403e-21,6.1853817743101696e-15,5.028715207013576,False,5.028715207013576,6.125940020967889,5.028715206971896
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_84.json,Allen-Cahn,84,0,0,21.90755154045002,0.2785667026014691,0.05411639161068575,True,5.147547615618623,0.004954931297432937,3.886893864896095e-12,0.2845870735868772,0.0,0.2845870736084237,12165.77255314612,5.258796172018222,False,5.258796172018222,6.723721684096233,5.543383245605099
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_84.json,Allen-Cahn,84,1,1,21.90755154045002,0.2785667026014691,0.02184091298197524,True,12.754352477451983,0.0017570959696010119,2.5858668515875143e-13,0.11485690980140362,0.0,0.11485690980279317,1529.8730126139299,5.258796172018222,False,5.258796172018222,6.723721684096233,5.373653081819626
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_84.json,Allen-Cahn,84,3,3,21.90755154045002,0.2785667026014691,7.677362811748139e-05,True,3628.4165465672363,0.000791462504974289,4.363381696593086e-12,0.00040373686242389795,0.0,0.0004037368394760013,310.4024275091734,5.258796172018222,False,5.258796172018222,6.723721684096233,5.259199908880646
