center,pde,seed,historical_status,alpha,gamma,status,failure_reason,error_GN,error_SO,strict_SO_win,strict_GN_win,logR_floor,logR,relative_GN,relative_SO,reference_resolved
burgers_57,burgers,57,CHECKPOINT_INVALID,1e-10,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_57,burgers,57,CHECKPOINT_INVALID,1e-08,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_57,burgers,57,CHECKPOINT_INVALID,1e-06,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_57,burgers,57,CHECKPOINT_INVALID,0.0001,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_57,burgers,57,CHECKPOINT_INVALID,0.01,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_58,burgers,58,PASS,1e-12,3.0959539469406065e-06,PASS,,0.33852010138264177,12.014371739230683,False,True,-3.569275382811679,-3.569275382811679,0.01623538472611483,0.5762078725377974,True
burgers_58,burgers,58,PASS,1e-10,0.00030959539469406066,PASS,,0.08616404263705135,1.2373757220331072,False,True,-2.6644951108980823,-2.6644951108980823,0.004033340908529058,0.05792158731362424,True
burgers_58,burgers,58,PASS,1e-08,0.030959539469406064,PASS,,0.36817526332515627,0.2723764699833282,True,False,0.3013738936692437,0.3013738936692437,0.014205395899729512,0.010509167712516436,True
burgers_58,burgers,58,PASS,1e-06,3.095953946940606,PASS,,1.818029751959216,0.05210428078191853,True,False,3.552261529713495,3.552261529713495,0.027206731666540765,0.000779738166762166,True
burgers_58,burgers,58,PASS,0.0001,309.59539469406064,PASS,,3.46496921510618,0.019234839340242615,True,False,5.193735843355759,5.193735843355759,0.016812888137793594,9.333220069201122e-05,True
burgers_58,burgers,58,PASS,0.01,30959.539469406067,PASS,,3.6662775870148607,0.0017379519651399278,True,False,7.654224756397728,7.654224756397728,0.007511502984959016,3.5607318496833285e-06,True
burgers_59,burgers,59,PASS,1e-12,9.85693597277944e-07,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
burgers_59,burgers,59,PASS,1e-10,9.85693597277944e-05,PASS,,44.18151742916518,50.94244369324315,False,True,-0.1423898964719743,-0.1423898964719743,3.319452661459406,3.8274156284898133,True
burgers_59,burgers,59,PASS,1e-08,0.00985693597277944,PASS,,0.7284939415554845,2.01100268727987,False,True,-1.0154094167888248,-1.0154094167888248,0.021715011040037042,0.05994414375304803,True
burgers_59,burgers,59,PASS,1e-06,0.9856935972779439,PASS,,0.508397428503713,0.8317922322556797,False,True,-0.4923192075045939,-0.4923192075045939,0.009483680699853721,0.01551630967636537,True
burgers_59,burgers,59,PASS,0.0001,98.5693597277944,PASS,,1.5587028864960075,0.30529352182122693,True,False,1.6303355908979547,1.6303355908979547,0.011716421019582429,0.00229482312966624,True
burgers_59,burgers,59,PASS,0.01,9856.93597277944,PASS,,1.8953491063031151,0.011466675540020788,True,False,5.107713275961292,5.107713275961292,0.004389844000844938,2.6558124126893946e-05,True
burgers_60,burgers,60,PASS,1e-12,2.7594617995582456e-06,PASS,,5.640286570822127,21.538898061175132,False,True,-1.3399256379797093,-1.3399256379797093,0.13572360457727856,0.5182958076293525,True
burgers_60,burgers,60,PASS,1e-10,0.00027594617995582455,PASS,,4.809965386529257,2.0466929759356844,True,False,0.8544645798439906,0.8544645798439906,0.11432764782827895,0.04864766686693991,True
burgers_60,burgers,60,PASS,1e-08,0.027594617995582455,PASS,,4.257442519111464,0.37966297424304685,True,False,2.4171399620597716,2.4171399620597716,0.09673677814778948,0.008626628015624884,True
burgers_60,burgers,60,PASS,1e-06,2.7594617995582453,PASS,,3.7938234111825295,0.2677814243465946,True,False,2.6509585382318046,2.6509585382318046,0.06445427485515084,0.004549409831534405,True
burgers_60,burgers,60,PASS,0.0001,275.94617995582456,PASS,,4.104774316167095,0.12437582176858086,True,False,3.496598239942488,3.496598239942488,0.03697583830152774,0.0011203783497234954,True
burgers_60,burgers,60,PASS,0.01,27594.617995582455,PASS,,6.962210095261298,0.050540276370270476,True,False,4.925481675052785,4.925481675052785,0.018839658669744516,0.0001367613937043528,True
burgers_61,burgers,61,CHECKPOINT_INVALID,1e-12,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_61,burgers,61,CHECKPOINT_INVALID,1e-10,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_61,burgers,61,CHECKPOINT_INVALID,1e-08,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_61,burgers,61,CHECKPOINT_INVALID,1e-06,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_61,burgers,61,CHECKPOINT_INVALID,0.0001,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_61,burgers,61,CHECKPOINT_INVALID,0.01,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_62,burgers,62,PASS,1e-12,5.075203785135047e-06,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
burgers_62,burgers,62,PASS,1e-10,0.0005075203785135047,PASS,,1.4646589337563682,0.8210140077621872,True,False,0.5788375134875806,0.5788375134875806,0.08318921750691857,0.046631684205680396,True
burgers_62,burgers,62,PASS,1e-08,0.050752037851350476,PASS,,1.5934945038677597,0.44607830761094647,True,False,1.2731901705457063,1.2731901705457063,0.07110291933244163,0.019904348490081374,True
burgers_62,burgers,62,PASS,1e-06,5.075203785135047,PASS,,3.1564244558026076,0.18170212185600576,True,False,2.8548265114892044,2.8548265114892044,0.04705512343324619,0.002708766166191364,True
burgers_62,burgers,62,PASS,0.0001,507.5203785135048,PASS,,6.421016426704398,0.04101872245701088,True,False,5.053303098302464,5.053303098302464,0.0337827889186413,0.000215811134934093,True
burgers_62,burgers,62,PASS,0.01,50752.03785135048,PASS,,6.310771481390759,0.00862481476889343,True,False,6.595369724740119,6.595369724740119,0.01623531414229988,2.2188503831115356e-05,True
burgers_63,burgers,63,CHECKPOINT_INVALID,1e-12,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_63,burgers,63,CHECKPOINT_INVALID,1e-10,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_63,burgers,63,CHECKPOINT_INVALID,1e-08,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_63,burgers,63,CHECKPOINT_INVALID,1e-06,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_63,burgers,63,CHECKPOINT_INVALID,0.0001,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_63,burgers,63,CHECKPOINT_INVALID,0.01,,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,
burgers_64,burgers,64,PASS,1e-12,2.297025667914793e-06,CHECKPOINT_INVALID,state_not_SPD,,,,,,,,,
burgers_64,burgers,64,PASS,1e-10,0.0002297025667914793,PASS,,2.075118141622852,2.5375968486500824,False,True,-0.2011994228115222,-0.2011994228115222,0.055645102108031134,0.06804664896897014,True
burgers_64,burgers,64,PASS,1e-08,0.02297025667914793,PASS,,2.8660440802785843,1.9606714538782626,True,False,0.3796457166207865,0.3796457166207865,0.0699457837578238,0.047850171766994125,True
