center,pde,seed,historical_status,status,failure_reason,e_GN,correction,e_SO,classification,scalar_improvement_product,identity_error,r_D,Z_norm,condition_A,lambda_min,q,min_direction_energy_fraction,weak10percent_energy_fraction,mu_effective,SO_win,source_sha256
burgers_59,burgers,59,PASS,PASS,,0.7284939415554845,1.2825087457243853,2.01100268727987,wrong_direction,3.513428385363812,7.069036550651238e-12,0.00647129645806373,12.725377713172124,100881492.46755038,0.009765085779472021,2.0110026870427182,0.02754924948984634,0.03712687261130638,4021.532079115839,False,c114a44f04d4fa224ac87315a478f79a22596d161a0c12579f998cf31be74b69
burgers_60,burgers,60,PASS,PASS,,-4.257442519111464,4.637105493354511,0.37966297424304685,appropriate,-17.981672829527096,2.6077266559822513e-12,0.003209893378565587,6.782456895220196,100446656.62475249,0.02761987578100452,0.37966297412827926,2.7908600846916974e-05,0.0006453730510948539,11488.731287440156,True,e9279d0066d2e70f795eff0bd9a61085ddafe6ea718ebaf52f0166fe438f4252
burgers_61,burgers,61,CHECKPOINT_INVALID,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,,,,,,,,
burgers_62,burgers,62,PASS,PASS,,1.5934945038677597,-1.1474161962568132,0.44607830761094647,appropriate,-2.3402388773357115,1.4141118375227156e-11,0.01070473761677609,7.828572695365475,100723538.90989703,0.050330452541611115,0.44607830792786446,3.252609197045845e-05,3.4532355787559097e-05,37737.50620234636,True,1ec4ec3b09ca34c62c863d8744fac2f5560b445cd55c6c1c9b4778b8babb352e
burgers_63,burgers,63,CHECKPOINT_INVALID,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,,,,,,,,
burgers_64,burgers,64,PASS,PASS,,-2.8660440802302674,4.826715533955735,1.9606714537254675,appropriate,-4.369976120369021,2.998168402196262e-12,0.002505730690037733,9.47360073320547,100223808.49605836,0.0229190000524817,1.9606714536026169,1.3918551373533794e-07,1.4797479203780256e-07,849.7548277431916,True,e627436c9468e2e3060aa3d3ad9120ccdd6d8c67e6a301c3b7b7ddc5311be627
burgers_65,burgers,65,PASS,PASS,,2.3547593245891676,-1.9121440211124536,0.44261530347671396,appropriate,-5.348983169867849,4.20301627692096e-12,0.00328413043144077,11.80806707454774,100208476.4230928,0.025382004051967486,0.4426153035751528,8.846857235467129e-11,0.0003123127189633916,4796.270043616623,True,2cbb071aa476043dc13283501ddc231a6ddf14f6dc242c34c39d17a78b01bc02
burgers_66,burgers,66,PASS,PASS,,2.3463469998812343,-1.7219878279241811,0.6243591719570531,appropriate,-5.115519868244772,9.31826617117597e-13,0.0036287382932044033,8.395230606965395,100011461.00976358,0.04094364688377882,0.6243591719311222,0.008117890712668989,0.008316262188999085,2703.437281963608,True,0825ba2c573b65180691f28433ed5d0ee1785061a47d974cfc017217682883ce
burgers_67,burgers,67,PASS,PASS,,-1.4459867275265879,4.269658432958977,2.823671705432389,overshoot,5.882244283876405,9.083772615564462e-12,0.0030970244450620704,16.204134918443707,100205391.81269255,0.005266229999939892,2.823671705119846,3.049541773063737e-05,3.4135943622828304e-05,406.6610194179942,False,8fd2dbdb2b09d82c1bc069362ba0d041e993f5d608416b7066e121e378517cae
burgers_68,burgers,68,PASS,PASS,,4.663458882644136,-4.357429683436294,0.3060291992078419,appropriate,-21.6541948793447,7.053242497494919e-13,0.006342862876732842,10.992736387047325,100914384.9749483,0.030649801737528553,0.30602919922372807,1.344709302911543e-06,5.293880443573769e-06,14731.149314829574,True,0e291feac3f34c20b92ff0882abd768a6a853ea2142399f119eb0f1bf39eeac2
burgers_69,burgers,69,PASS,PASS,,1.2326719751448536,-0.7949876680673924,0.4376843070774612,appropriate,-1.3279126456456372,4.0009975913778666e-12,0.003667152495047429,11.578123130615268,100463480.51500675,0.021606361101918905,0.43768430716695683,5.812097573941431e-10,0.00016111115173468864,5158.421893482912,True,08bfd58eae9a6ecab524e7c8ad84968f73eac544cd0765dd1247c26155c7da16
