center,status,terminal_F,true_error_energy,true_relative,old_estimated_pass,new_estimated_pass,quadrant,upper_effectivity,old_upper_effectivity,relative_estimate,interval_contains_reference,lower,upper,iterations,A_matvec_count,residual_norm,replay_seconds,spectrum_seconds,estimate_seconds,oracle_seconds,bound_status,failure_reason
burgers_55,PASS,30.324607551914823,0.06212605978422428,0.002052906989811111,True,False,Q2,203.0644793773614,26.17916602345967,0.7123828418535458,True,0.0011827745300964892,12.615595985850334,8,9,0.9030554073471907,0.008974299998953938,0.0008694999851286411,0.00010320008732378483,4.4899992644786835e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_56,PASS,51.678381354247335,0.6647400947206241,0.013030634126641273,False,False,Q2,2650.6298542232,317155.42955726635,,True,0.01054265270020114,1761.9799403656439,8,9,7.113472036943017,0.011223500012420118,0.000785500044003129,0.0001156999496743083,4.5599997974932194e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_57,CHECKPOINT_INVALID,,,,,,,,,,,,,,,,,,,,,frozen center policy failed
burgers_58,PASS,25.965566559715626,0.047579766271914264,0.0018357817160378437,False,False,Q2,516.81721917494,2781.762819032496,17.876853702659858,True,0.0013681981312274442,24.590042493644333,8,9,0.8724782421601381,0.01132529997266829,0.0010031999554485083,0.00013090006541460752,5.519995465874672e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_59,PASS,34.083230080592784,0.5352875895498641,0.015955899223708946,False,False,Q2,1276.1664528079127,741.1659356051937,,True,0.00427688494608367,683.116064387948,8,9,2.582698560848782,0.012594199972227216,0.0007802000036463141,9.61000332608819e-05,4.069996066391468e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_60,PASS,44.03622239504011,0.025634068375182242,0.0005824522995447255,False,False,Q2,805.6837777510488,569.8353315298502,0.8832363319608558,True,5.3160297089174834e-05,20.652953047645518,8,9,0.7552508495707823,0.0091238000895828,0.0007666999008506536,8.960010018199682e-05,3.979995381087065e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_61,CHECKPOINT_INVALID,,,,,,,,,,,,,,,,,,,,,frozen center policy failed
burgers_62,PASS,22.49945430912203,0.08835615993172653,0.003942518092756591,False,False,Q2,117.28988489014056,134672.4230899207,0.8539171267917012,True,0.0034095109640002617,10.363283827727054,8,9,0.7220752846865657,0.009475799975916743,0.0007757999701425433,8.830009028315544e-05,3.9499951526522636e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_63,CHECKPOINT_INVALID,,,,,,,,,,,,,,,,,,,,,frozen center policy failed
burgers_64,PASS,41.417059078351485,0.4418361797666747,0.010783008572283684,False,False,Q2,3531.3661408361,196.43960479884183,,True,0.002579875555122868,1560.2853250244075,8,9,5.979836911710093,0.010552500025369227,0.0007821999024599791,9.840005077421665e-05,4.109996370971203e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_65,PASS,23.547488498532516,0.12649600869338126,0.0054009670490377274,False,False,Q2,610.732332370316,312.72965514678384,,True,0.0005114732970313773,77.25520242484451,8,9,1.4002811584238333,0.01248389994725585,0.0009116000728681684,0.00015259999781847,6.049999501556158e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_66,PASS,28.03655529132857,0.20849844238867357,0.007492382365052423,False,False,Q2,772.3477469561243,112.93660852230632,,True,0.0004930895859205317,161.03330222275332,8,9,2.5676766517833998,0.009495000005699694,0.0007381000323221087,8.369993884116411e-05,3.730005118995905e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_67,PASS,35.64020982963825,1.2334832752506462,0.03585006185638867,False,False,Q2,1921.3581764104154,376025.9218038125,,True,0.03703489199117843,2369.963176368328,8,9,3.532703542401429,0.009503299952484667,0.0007388000376522541,8.17000400274992e-05,3.7199934013187885e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_68,PASS,22.55138616204374,0.028154804173083563,0.0012500339638541686,False,False,Q2,485.747904129277,116090.28582243415,1.5409299559658145,True,0.0004977689923262577,13.676137118245563,8,9,0.6474070895272086,0.009914199938066304,0.0008053999627009034,9.14999982342124e-05,4.130008164793253e-05,dense_assisted_numerical_estimate_not_certificate,
burgers_69,PASS,22.499673537243098,0.13134386892625177,0.0058718675410212254,False,False,Q2,482.26685965538,377.61473926276534,,True,0.0003897699478397447,63.34279520205129,8,9,1.1698439349726186,0.010634499951265752,0.0007932999869808555,9.650003630667925e-05,5.1299924962222576e-05,dense_assisted_numerical_estimate_not_certificate,
