benchmark,grid_index,scan_parameter,scan_value,objective_half_chi2,objective_delta_half_chi2,nuisance,status,boundary
B3,28,k,1.5547348652216917,2.755754144546401,1.021405182655144e-14,"{""C"": 3.0979712716860144}",PASS,False
B3,29,k,1.6728785841772988,2.7557541445463936,2.6645352591003757e-15,"{""C"": 3.333384948578578}",PASS,False
B3,30,k,1.8000000000000003,2.7557541445464033,1.2434497875801753e-14,"{""C"": 3.5866876219307207}",PASS,False
B4,0,k,0.19999999999999998,0.15766763268020334,5.9674487573602164e-15,"{""a"": 0.5128033878270992}",PASS,False
B4,1,k,0.21519792494506915,0.15766763268020634,8.965050923848139e-15,"{""a"": 0.5257848489250798}",PASS,False
B4,2,k,0.23155073450331806,0.15766763268020262,5.245803791353865e-15,"{""a"": 0.5401200286466109}",PASS,False
B4,3,k,0.24914618792310345,0.15766763268020126,3.885780586188048e-15,"{""a"": 0.5559813501999585}",PASS,False
B4,4,k,0.26807871324513055,0.15766763268020229,4.912736883966318e-15,"{""a"": 0.5735685776017505}",PASS,False
B4,5,k,0.2884499140614816,0.15766763268020126,3.885780586188048e-15,"{""a"": 0.5931140982237073}",PASS,False
B4,6,k,0.31036911478307194,0.15766763268020245,5.079270337660091e-15,"{""a"": 0.6148894090455392}",PASS,False
B4,7,k,0.33395394734177536,0.1576676326802002,2.831068712794149e-15,"{""a"": 0.6392131222912814}",PASS,False
B4,8,k,0.35933098247582473,0.15766763268020548,8.104628079763643e-15,"{""a"": 0.6664608999059397}",PASS,False
B4,9,k,0.38663640898635254,0.15766763268020245,5.079270337660091e-15,"{""a"": 0.6970778513066113}",PASS,False
B4,10,k,0.4160167646103808,0.15766763268020229,4.912736883966318e-15,"{""a"": 0.7315940965334354}",PASS,False
B4,11,k,0.4476297224325762,0.15766763268020126,3.885780586188048e-15,"{""a"": 0.770644423529366}",PASS,False
B4,12,k,0.4816449370561384,0.15766763268019737,0.0,"{""a"": 0.8149932767584559}",PASS,False
B4,13,k,0.5182449550738971,0.15766763268020229,4.912736883966318e-15,"{""a"": 0.8655667375554738}",PASS,False
B4,14,k,0.5576261947257664,0.15766763268020229,4.912736883966318e-15,"{""a"": 0.9234937418072396}",PASS,False
B4,15,k,0.6,0.15766763268020245,5.079270337660091e-15,"{""a"": 0.9901595966279741}",PASS,False
B4,16,k,0.6455937748352074,0.15766763268019823,8.604228440844963e-16,"{""a"": 1.06727600565137}",PASS,False
B4,17,k,0.6946522035099544,0.15766763268020229,4.912736883966318e-15,"{""a"": 1.1569734421949018}",PASS,False
B4,18,k,0.7474385637693103,0.1576676326801984,1.0269562977782698e-15,"{""a"": 1.2619240451070255}",PASS,False
B4,19,k,0.8042361397353917,0.1576676326802053,7.93809462606987e-15,"{""a"": 1.3855065928901695}",PASS,False
B4,20,k,0.8653497421844449,0.15766763268020229,4.912736883966318e-15,"{""a"": 1.532030056754638}",PASS,False
B4,21,k,0.9311073443492158,0.15766763268020126,3.885780586188048e-15,"{""a"": 1.7070395457764385}",PASS,False
B4,22,k,1.001861842025326,0.15766763268020634,8.965050923848139e-15,"{""a"": 1.9177393951124342}",PASS,False
B4,23,k,1.0779929474274743,0.15766763268020126,3.885780586188048e-15,"{""a"": 2.1735847058989624}",PASS,False
